""	Reservoir	Season	Pipeline	Total	Maylandia zebra	Percentage_of_the_total
Klíčava Autumn Anacapa	Klíčava	Autumn	Anacapa	298412	287786	96.44
Klíčava Autumn Barque	Klíčava	Autumn	Barque	298412	270840	90.76
Klíčava Autumn MetaBEAT	Klíčava	Autumn	MetaBEAT	298412	247174	82.83
Klíčava Autumn MiFish	Klíčava	Autumn	MiFish	298412	210430	70.52
Klíčava Autumn SEQme	Klíčava	Autumn	SEQme	298412	276866	92.78
Klíčava Summer Anacapa	Klíčava	Summer	Anacapa	529822	512662	96.76
Klíčava Summer Barque	Klíčava	Summer	Barque	529822	484635	91.47
Klíčava Summer MetaBEAT	Klíčava	Summer	MetaBEAT	529822	448540	84.66
Klíčava Summer MiFish	Klíčava	Summer	MiFish	529822	383575	72.4
Klíčava Summer SEQme	Klíčava	Summer	SEQme	529822	494191	93.27
Římov Autumn Anacapa	Římov	Autumn	Anacapa	558883	538658	96.38
Římov Autumn Barque	Římov	Autumn	Barque	558883	508454	90.98
Římov Autumn MetaBEAT	Římov	Autumn	MetaBEAT	558883	467582	83.66
Římov Autumn MiFish	Římov	Autumn	MiFish	558883	401062	71.76
Římov Autumn SEQme	Římov	Autumn	SEQme	558883	518937	92.85
Římov Summer Anacapa	Římov	Summer	Anacapa	716293	691803	96.58
Římov Summer Barque	Římov	Summer	Barque	716293	653964	91.3
Římov Summer MetaBEAT	Římov	Summer	MetaBEAT	716293	604376	84.38
Římov Summer MiFish	Římov	Summer	MiFish	716293	516154	72.06
Římov Summer SEQme	Římov	Summer	SEQme	716293	667867	93.24
Žlutice Autumn Anacapa	Žlutice	Autumn	Anacapa	534531	514384	96.23
Žlutice Autumn Barque	Žlutice	Autumn	Barque	534531	486974	91.1
Žlutice Autumn MetaBEAT	Žlutice	Autumn	MetaBEAT	534531	444059	83.07
Žlutice Autumn MiFish	Žlutice	Autumn	MiFish	534531	380232	71.13
Žlutice Autumn SEQme	Žlutice	Autumn	SEQme	534531	494411	92.49
Žlutice Summer Anacapa	Žlutice	Summer	Anacapa	326122	314847	96.54
Žlutice Summer Barque	Žlutice	Summer	Barque	326122	297817	91.32
Žlutice Summer MetaBEAT	Žlutice	Summer	MetaBEAT	326122	275752	84.55
Žlutice Summer MiFish	Žlutice	Summer	MiFish	326122	228634	70.11
Žlutice Summer SEQme	Žlutice	Summer	SEQme	326122	307575	94.31
